gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,average_score
male,group C,associate's degree,standard,none,69,77,69,71.0
male,group C,some college,standard,none,59,41,42,47.0
male,group D,some high school,standard,completed,74,71,78,74.0
male,group E,bachelor's degree,standard,none,82,62,62,68.0
male,group E,high school,standard,completed,81,80,76,79.0
male,group D,some high school,free/reduced,completed,80,79,79,79.0
male,group C,some college,free/reduced,none,35,28,27,30.0
male,group C,associate's degree,free/reduced,completed,60,51,56,55.0
male,group E,high school,standard,completed,87,91,81,86.0
male,group B,some high school,standard,completed,84,83,75,80.0
male,group B,high school,free/reduced,none,66,77,70,71.0
male,group B,some high school,standard,completed,61,56,56,57.0
male,group B,associate's degree,standard,none,87,85,73,81.0
male,group D,some high school,standard,none,86,80,75,80.0
male,group D,high school,standard,none,57,50,54,53.0
male,group A,some high school,free/reduced,none,68,72,64,68.0
male,group D,some college,standard,none,76,64,66,68.0
male,group C,associate's degree,standard,none,46,43,42,43.0
male,group E,some high school,standard,none,92,87,78,85.0
male,group C,bachelor's degree,standard,completed,83,82,84,83.0
male,group D,associate's degree,standard,none,80,75,77,77.0
male,group D,bachelor's degree,free/reduced,none,63,66,67,65.0
male,group B,some college,standard,none,54,52,51,52.0
male,group C,associate's degree,standard,none,84,80,80,81.0
male,group D,high school,free/reduced,completed,73,68,66,69.0
male,group E,some college,standard,none,59,51,43,51.0
male,group D,some high school,standard,none,75,74,69,72.0
male,group C,associate's degree,standard,none,85,76,71,77.0
male,group E,associate's degree,standard,none,89,76,74,79.0
male,group C,high school,standard,none,68,60,53,60.0
male,group A,some high school,standard,completed,47,49,49,48.0
male,group D,master's degree,standard,none,80,80,72,77.0
male,group D,high school,standard,none,54,52,52,52.0
male,group C,associate's degree,standard,completed,78,77,77,77.0
male,group C,some college,standard,completed,79,79,78,78.0
male,group D,high school,standard,none,76,73,68,72.0
male,group D,some high school,free/reduced,none,59,42,41,47.0
male,group C,bachelor's degree,standard,none,69,63,61,64.0
male,group C,some college,standard,none,58,49,42,49.0
male,group B,some college,standard,completed,88,85,76,83.0
male,group C,bachelor's degree,standard,none,83,78,73,78.0
male,group B,bachelor's degree,free/reduced,none,73,56,57,62.0
male,group D,high school,standard,none,53,52,42,49.0
male,group D,high school,standard,none,45,48,46,46.0
male,group B,associate's degree,standard,completed,81,82,82,81.0
male,group E,associate's degree,standard,completed,97,82,88,89.0
male,group B,bachelor's degree,free/reduced,none,88,75,76,79.0
male,group E,some high school,standard,completed,77,76,77,76.0
male,group C,associate's degree,standard,none,76,70,68,71.0
male,group D,some high school,standard,none,86,73,70,76.0
male,group C,some high school,standard,completed,63,60,57,60.0
male,group D,high school,free/reduced,completed,78,77,80,78.0
male,group B,associate's degree,free/reduced,none,67,62,60,63.0
male,group A,some high school,standard,completed,46,41,43,43.0
male,group E,associate's degree,standard,completed,71,74,68,71.0
male,group C,high school,free/reduced,completed,40,46,50,45.0
male,group D,associate's degree,free/reduced,none,90,87,75,84.0
male,group A,some college,free/reduced,completed,81,78,81,80.0
male,group D,some high school,free/reduced,none,56,54,52,54.0
male,group B,associate's degree,standard,none,80,76,64,73.0
male,group A,some college,standard,none,69,67,69,68.0
male,group E,some college,standard,completed,99,87,81,89.0
male,group C,some high school,standard,none,51,52,44,49.0
male,group B,bachelor's degree,standard,none,66,60,57,61.0
male,group D,bachelor's degree,standard,completed,67,61,68,65.0
male,group C,high school,standard,none,71,66,65,67.0
male,group C,associate's degree,standard,none,83,72,78,77.0
male,group B,bachelor's degree,standard,none,63,71,69,67.0
male,group C,some college,standard,none,61,61,62,61.0
male,group A,some college,free/reduced,none,28,23,19,23.0
male,group C,associate's degree,standard,completed,82,75,77,78.0
male,group C,high school,standard,none,71,60,61,64.0
male,group C,associate's degree,standard,none,47,37,35,39.0
male,group E,associate's degree,standard,completed,62,56,53,57.0
male,group B,associate's degree,standard,none,90,78,81,83.0
male,group D,some high school,standard,completed,76,70,69,71.0
male,group C,associate's degree,standard,none,49,51,43,47.0
male,group C,high school,free/reduced,none,58,61,52,57.0
male,group D,associate's degree,standard,completed,67,72,67,68.0
male,group D,some college,standard,none,79,73,67,73.0
male,group B,some college,standard,none,62,61,57,60.0
male,group D,high school,free/reduced,none,75,74,66,71.0
male,group E,associate's degree,standard,none,87,74,76,79.0
male,group E,some college,standard,none,66,57,52,58.0
male,group A,associate's degree,standard,none,63,61,61,61.0
male,group D,some college,free/reduced,none,59,62,61,60.0
male,group B,some high school,standard,completed,85,84,78,82.0
male,group C,some college,standard,none,59,60,58,59.0
male,group A,bachelor's degree,free/reduced,completed,49,58,60,55.0
male,group C,high school,standard,completed,69,58,53,60.0
male,group C,bachelor's degree,free/reduced,none,61,66,61,62.0
male,group E,some college,standard,none,84,77,71,77.0
male,group D,some high school,standard,none,74,74,72,73.0
male,group E,associate's degree,free/reduced,none,46,43,41,43.0
male,group A,bachelor's degree,standard,none,66,64,62,64.0
male,group C,associate's degree,standard,completed,87,100,95,94.0
male,group C,master's degree,free/reduced,none,79,81,71,77.0
male,group D,master's degree,standard,none,73,70,75,72.0
male,group E,some high school,free/reduced,completed,73,67,59,66.0
male,group E,some college,standard,none,76,67,67,70.0
male,group C,associate's degree,standard,completed,57,54,56,55.0
male,group A,high school,free/reduced,none,48,45,41,44.0
male,group B,some high school,standard,none,74,63,57,64.0
male,group D,some high school,standard,none,60,59,54,57.0
male,group A,some college,standard,none,53,43,43,46.0
male,group B,associate's degree,standard,completed,65,65,63,64.0
male,group D,associate's degree,standard,completed,87,84,85,85.0
male,group E,some college,standard,completed,84,83,78,81.0
male,group D,associate's degree,standard,none,71,66,60,65.0
male,group B,some high school,standard,completed,63,67,67,65.0
male,group E,high school,standard,none,84,73,69,75.0
male,group C,bachelor's degree,standard,completed,71,74,68,71.0
male,group C,associate's degree,standard,none,74,73,67,71.0
male,group D,some college,standard,none,68,59,62,63.0
male,group E,high school,free/reduced,completed,57,56,54,55.0
male,group B,some college,free/reduced,none,41,39,34,38.0
male,group C,bachelor's degree,standard,none,86,83,86,85.0
male,group C,some high school,free/reduced,none,69,71,65,68.0
male,group A,some high school,free/reduced,none,65,59,53,59.0
male,group C,some high school,free/reduced,none,68,63,54,61.0
male,group C,associate's degree,free/reduced,none,64,66,59,63.0
male,group C,high school,standard,none,61,56,55,57.0
male,group C,some high school,standard,none,73,66,66,68.0
male,group C,some college,free/reduced,completed,50,48,53,50.0
male,group D,associate's degree,standard,none,75,68,64,69.0
male,group D,associate's degree,free/reduced,none,75,66,73,71.0
male,group C,high school,standard,none,70,56,51,59.0
male,group D,some high school,standard,completed,89,88,82,86.0
male,group A,some high school,free/reduced,none,79,82,73,78.0
male,group D,some college,free/reduced,none,69,66,60,65.0
male,group C,high school,standard,completed,86,81,80,82.0
male,group B,high school,standard,none,47,46,42,45.0
male,group B,associate's degree,standard,none,81,73,72,75.0
male,group C,some college,free/reduced,none,65,58,49,57.0
male,group C,bachelor's degree,free/reduced,none,37,56,47,46.0
male,group D,associate's degree,free/reduced,none,53,54,48,51.0
male,group B,high school,standard,completed,72,65,68,68.0
male,group C,bachelor's degree,free/reduced,none,53,58,55,55.0
male,group B,some college,free/reduced,none,54,54,45,51.0
male,group A,bachelor's degree,standard,completed,75,58,62,65.0
male,group A,high school,free/reduced,completed,72,67,65,68.0
male,group C,some college,standard,none,91,74,76,80.0
male,group E,bachelor's degree,standard,completed,76,62,66,68.0
male,group D,associate's degree,standard,none,80,68,72,73.0
male,group E,associate's degree,standard,none,76,71,67,71.0
male,group B,high school,standard,completed,73,71,68,70.0
male,group C,some college,free/reduced,none,68,68,61,65.0
male,group A,high school,standard,none,59,52,46,52.0
male,group C,high school,standard,none,70,74,71,71.0
male,group D,some college,free/reduced,none,61,47,56,54.0
male,group B,some high school,standard,completed,64,53,57,58.0
male,group A,associate's degree,free/reduced,completed,79,82,82,81.0
male,group D,high school,standard,completed,68,64,66,66.0
male,group E,some college,standard,none,76,71,72,73.0
male,group C,some college,free/reduced,none,63,61,54,59.0
male,group A,high school,standard,none,68,70,66,68.0
male,group B,bachelor's degree,free/reduced,none,55,59,54,56.0
male,group C,master's degree,standard,none,79,78,77,78.0
male,group D,some college,standard,none,76,71,73,73.0
male,group A,some high school,standard,none,64,50,43,52.0
male,group D,some high school,free/reduced,none,62,49,52,54.0
male,group D,some college,standard,none,71,49,52,57.0
male,group D,bachelor's degree,standard,none,69,58,57,61.0
male,group C,master's degree,free/reduced,none,54,59,50,54.0
male,group C,high school,standard,completed,53,52,49,51.0
male,group E,some college,standard,none,68,60,59,62.0
male,group C,some high school,free/reduced,completed,56,61,60,59.0
male,group E,associate's degree,standard,completed,62,61,58,60.0
male,group B,high school,standard,completed,73,69,68,70.0
male,group C,associate's degree,standard,completed,51,60,58,56.0
male,group E,bachelor's degree,standard,completed,85,66,71,74.0
male,group A,associate's degree,standard,completed,97,92,86,91.0
male,group C,high school,standard,completed,75,69,68,70.0
male,group D,associate's degree,free/reduced,completed,79,82,80,80.0
male,group E,some high school,free/reduced,completed,78,83,80,80.0
male,group C,high school,standard,completed,72,67,64,67.0
male,group C,master's degree,standard,none,79,72,69,73.0
male,group C,some high school,free/reduced,none,79,76,65,73.0
male,group B,bachelor's degree,free/reduced,completed,87,90,88,88.0
male,group D,some college,free/reduced,none,77,62,64,67.0
male,group E,associate's degree,standard,none,53,45,40,46.0
male,group C,master's degree,free/reduced,none,61,67,66,64.0
male,group D,some high school,standard,none,73,66,62,67.0
male,group C,bachelor's degree,standard,completed,96,90,92,92.0
male,group B,bachelor's degree,free/reduced,none,48,51,46,48.0
male,group B,associate's degree,standard,none,48,43,45,45.0
male,group B,high school,free/reduced,none,63,48,47,52.0
male,group D,bachelor's degree,free/reduced,none,68,68,67,67.0
male,group B,some college,standard,completed,71,75,70,72.0
male,group A,bachelor's degree,standard,none,91,96,92,93.0
male,group A,associate's degree,free/reduced,completed,40,55,53,49.0
male,group A,some college,standard,completed,61,51,52,54.0
male,group C,some college,free/reduced,none,58,57,54,56.0
male,group A,some high school,standard,none,71,62,50,61.0
male,group E,bachelor's degree,standard,none,68,68,64,66.0
male,group B,high school,free/reduced,none,30,24,15,23.0
male,group A,some high school,standard,none,53,54,48,51.0
male,group D,high school,free/reduced,none,60,57,51,56.0
male,group D,master's degree,free/reduced,completed,84,89,90,87.0
male,group C,some high school,standard,none,75,72,62,69.0
male,group D,some college,free/reduced,completed,69,60,63,64.0
male,group C,bachelor's degree,standard,completed,94,90,91,91.0
male,group D,bachelor's degree,standard,none,88,78,83,83.0
male,group D,master's degree,standard,none,95,81,84,86.0
male,group C,associate's degree,free/reduced,completed,65,73,68,68.0
male,group B,bachelor's degree,free/reduced,none,62,63,56,60.0
male,group C,high school,free/reduced,completed,58,51,52,53.0
male,group A,some college,standard,completed,100,96,86,94.0
male,group D,some college,standard,completed,100,97,99,98.0
male,group B,associate's degree,free/reduced,completed,69,70,63,67.0
male,group D,associate's degree,standard,none,61,48,46,51.0
male,group D,some college,free/reduced,none,49,57,46,50.0
male,group D,some college,standard,none,67,64,70,67.0
male,group B,high school,standard,none,79,60,65,68.0
male,group D,some high school,standard,none,84,84,80,82.0
male,group A,high school,standard,none,71,74,64,69.0
male,group E,some college,standard,none,86,76,74,78.0
male,group D,high school,standard,none,41,52,51,48.0
male,group B,high school,standard,none,70,65,60,65.0
male,group C,some high school,free/reduced,completed,51,56,53,53.0
male,group C,associate's degree,free/reduced,none,77,67,64,69.0
male,group D,some high school,standard,none,69,66,61,65.0
male,group D,associate's degree,standard,none,90,87,85,87.0
male,group C,some college,free/reduced,none,74,77,73,74.0
male,group C,some high school,standard,none,73,66,63,67.0
male,group D,associate's degree,standard,none,80,63,63,68.0
male,group C,some college,standard,none,73,74,61,69.0
male,group D,associate's degree,standard,completed,81,72,77,76.0
male,group D,associate's degree,free/reduced,none,52,57,50,53.0
male,group D,associate's degree,free/reduced,none,81,75,78,78.0
male,group D,some college,free/reduced,none,63,61,60,61.0
male,group B,high school,standard,none,60,68,60,62.0
male,group B,high school,standard,none,62,55,54,57.0
male,group B,some college,standard,completed,62,66,68,65.0
male,group E,some college,standard,completed,85,75,68,76.0
male,group D,associate's degree,free/reduced,none,77,78,73,76.0
male,group A,high school,free/reduced,none,53,58,44,51.0
male,group E,some college,free/reduced,none,93,90,83,88.0
male,group C,high school,free/reduced,none,66,66,59,63.0
male,group A,bachelor's degree,standard,completed,87,84,87,86.0
male,group A,bachelor's degree,free/reduced,none,62,72,65,66.0
male,group D,high school,standard,none,46,34,36,38.0
male,group C,some college,standard,none,66,59,52,59.0
male,group D,high school,standard,none,89,87,79,85.0
male,group C,some college,standard,completed,93,84,90,89.0
male,group D,master's degree,standard,none,81,81,84,82.0
male,group C,associate's degree,standard,completed,73,78,72,74.0
male,group E,associate's degree,free/reduced,completed,91,73,80,81.0
male,group D,some high school,free/reduced,completed,55,59,59,57.0
male,group C,high school,standard,none,50,48,42,46.0
male,group B,some college,standard,none,47,43,41,43.0
male,group E,some college,standard,completed,81,74,71,75.0
male,group E,some high school,standard,completed,68,51,57,58.0
male,group C,some college,standard,none,53,39,37,43.0
male,group A,some high school,free/reduced,none,55,46,43,48.0
male,group D,some high school,standard,none,55,47,44,48.0
male,group C,master's degree,standard,none,67,57,59,61.0
male,group C,associate's degree,standard,none,92,79,84,85.0
male,group D,associate's degree,standard,none,81,71,73,75.0
male,group C,high school,free/reduced,none,61,60,55,58.0
male,group D,bachelor's degree,standard,none,80,73,72,75.0
male,group B,some college,free/reduced,none,55,55,47,52.0
male,group D,associate's degree,standard,none,72,79,74,75.0
male,group D,high school,standard,none,69,75,71,71.0
male,group C,some college,standard,none,69,64,68,67.0
male,group B,some college,standard,completed,87,84,86,85.0
male,group D,some high school,standard,completed,71,69,68,69.0
male,group E,some college,standard,none,68,72,65,68.0
male,group C,master's degree,free/reduced,completed,79,77,75,77.0
male,group C,associate's degree,free/reduced,none,58,55,53,55.0
male,group D,some college,standard,none,55,58,52,55.0
male,group E,bachelor's degree,free/reduced,completed,70,68,72,70.0
male,group B,some college,standard,completed,69,77,77,74.0
male,group D,some high school,standard,completed,78,81,86,81.0
male,group D,some college,standard,none,60,63,59,60.0
male,group B,high school,standard,completed,76,62,60,66.0
male,group A,some college,free/reduced,none,58,60,57,58.0
male,group B,high school,standard,none,52,48,49,49.0
male,group D,bachelor's degree,standard,none,75,73,74,74.0
male,group B,some college,standard,none,66,65,60,63.0
male,group E,associate's degree,standard,completed,94,85,82,87.0
male,group C,bachelor's degree,standard,completed,91,81,79,83.0
male,group C,associate's degree,free/reduced,none,68,65,61,64.0
male,group D,high school,free/reduced,none,66,74,69,69.0
male,group E,some high school,standard,completed,89,84,77,83.0
male,group D,high school,standard,none,70,70,70,70.0
male,group E,some college,standard,none,69,60,54,61.0
male,group C,some high school,standard,completed,67,73,68,69.0
male,group C,some high school,standard,completed,76,80,73,76.0
male,group A,some college,free/reduced,none,75,81,74,76.0
male,group C,high school,standard,none,90,75,69,78.0
male,group B,bachelor's degree,standard,none,59,54,51,54.0
male,group A,some high school,standard,none,51,31,36,39.0
male,group A,high school,free/reduced,none,45,47,49,47.0
male,group E,some high school,standard,completed,87,84,76,82.0
male,group B,some high school,standard,completed,94,86,87,89.0
male,group D,bachelor's degree,free/reduced,completed,61,70,76,69.0
male,group E,some college,free/reduced,completed,49,52,51,50.0
male,group C,high school,standard,none,62,67,58,62.0
male,group B,some high school,standard,none,68,54,53,58.0
male,group A,bachelor's degree,standard,none,64,60,58,60.0
male,group B,some college,standard,none,58,50,45,51.0
male,group E,high school,standard,none,73,64,57,64.0
male,group B,associate's degree,free/reduced,completed,58,57,53,56.0
male,group C,some high school,standard,none,64,58,51,57.0
male,group B,some college,free/reduced,completed,74,77,76,75.0
male,group E,master's degree,standard,none,90,85,84,86.0
male,group C,master's degree,standard,completed,91,85,85,87.0
male,group D,high school,standard,none,64,54,50,56.0
male,group D,associate's degree,standard,none,80,75,69,74.0
male,group C,master's degree,standard,none,71,67,67,68.0
male,group E,some high school,standard,none,82,67,61,70.0
male,group C,some high school,standard,none,62,64,55,60.0
male,group B,some college,free/reduced,none,75,68,65,69.0
male,group B,high school,standard,completed,52,49,46,49.0
male,group C,associate's degree,free/reduced,none,87,73,72,77.0
male,group D,bachelor's degree,free/reduced,completed,39,42,38,39.0
male,group C,associate's degree,standard,none,97,93,91,93.0
male,group D,some college,standard,completed,82,82,88,84.0
male,group C,high school,free/reduced,none,59,53,52,54.0
male,group B,associate's degree,standard,none,61,42,41,48.0
male,group E,associate's degree,free/reduced,completed,78,74,72,74.0
male,group C,associate's degree,free/reduced,none,49,51,51,50.0
male,group B,high school,standard,none,59,58,47,54.0
male,group B,associate's degree,standard,completed,82,84,78,81.0
male,group E,associate's degree,free/reduced,none,90,90,82,87.0
male,group C,some college,free/reduced,none,80,64,66,70.0
male,group D,some college,standard,none,81,82,84,82.0
male,group C,some high school,standard,none,57,61,54,57.0
male,group C,bachelor's degree,standard,completed,63,64,66,64.0
male,group D,bachelor's degree,free/reduced,none,55,46,44,48.0
male,group C,high school,free/reduced,none,54,72,59,61.0
male,group D,high school,free/reduced,none,44,51,48,47.0
male,group D,some high school,standard,completed,88,74,75,79.0
male,group B,high school,free/reduced,none,36,29,27,30.0
male,group D,associate's degree,standard,completed,67,54,63,61.0
male,group D,master's degree,standard,none,85,84,89,86.0
male,group D,some college,standard,none,88,77,77,80.0
male,group B,high school,standard,none,57,48,51,52.0
male,group E,bachelor's degree,standard,completed,70,64,70,68.0
male,group D,bachelor's degree,free/reduced,none,50,42,48,46.0
male,group E,bachelor's degree,standard,completed,100,100,100,100.0
male,group B,some college,standard,completed,91,96,91,92.0
male,group D,high school,free/reduced,none,69,70,67,68.0
male,group D,high school,standard,none,72,66,66,68.0
male,group D,high school,free/reduced,none,74,70,69,71.0
male,group E,some high school,standard,completed,74,64,60,66.0
male,group E,associate's degree,free/reduced,none,64,56,52,57.0
male,group E,associate's degree,free/reduced,completed,46,43,44,44.0
male,group C,some college,free/reduced,completed,67,74,70,70.0
male,group D,some college,free/reduced,none,62,57,62,60.0
male,group D,associate's degree,free/reduced,completed,61,71,73,68.0
male,group C,bachelor's degree,free/reduced,completed,70,75,74,73.0
male,group C,associate's degree,standard,completed,98,87,90,91.0
male,group D,some college,free/reduced,none,70,63,58,63.0
male,group A,associate's degree,standard,none,67,57,53,59.0
male,group D,some college,standard,completed,85,81,85,83.0
male,group D,some high school,standard,completed,77,68,69,71.0
male,group C,master's degree,free/reduced,completed,72,66,72,70.0
male,group C,high school,standard,none,81,66,64,70.0
male,group A,some high school,free/reduced,completed,61,62,61,61.0
male,group B,high school,standard,none,82,82,80,81.0
male,group B,some high school,free/reduced,completed,49,50,52,50.0
male,group E,high school,standard,none,94,73,71,79.0
male,group C,high school,standard,completed,58,52,54,54.0
male,group E,associate's degree,standard,none,72,57,62,63.0
male,group C,some college,standard,none,84,87,81,84.0
male,group C,high school,standard,none,75,81,71,75.0
male,group D,some college,standard,none,72,57,58,62.0
male,group A,some high school,standard,completed,66,68,64,66.0
male,group C,some college,standard,none,63,63,60,62.0
male,group C,some high school,standard,completed,78,72,69,73.0
male,group B,some college,free/reduced,completed,60,62,60,60.0
male,group C,associate's degree,standard,none,62,65,58,61.0
male,group D,high school,standard,completed,55,41,48,48.0
male,group D,some high school,standard,none,81,78,78,79.0
male,group B,some high school,standard,completed,79,85,86,83.0
male,group A,high school,standard,none,57,51,54,54.0
male,group E,some high school,standard,completed,81,75,76,77.0
male,group E,high school,free/reduced,completed,86,81,75,80.0
male,group A,high school,standard,none,63,63,62,62.0
male,group C,high school,free/reduced,none,62,55,55,57.0
